date,hour,traffic
02/01/14,8,2
02/01/14,9,7
02/01/14,10,29
02/01/14,11,47
02/01/14,12,75
02/01/14,13,71
02/01/14,14,78
02/01/14,15,76
02/01/14,16,103
02/01/14,17,116
02/01/14,18,83
02/01/14,19,99
02/01/14,20,47
02/01/14,21,8
02/01/14,22,0
03/01/14,8,0
03/01/14,9,0
03/01/14,10,30
03/01/14,11,44
03/01/14,12,83
03/01/14,13,72
03/01/14,14,82
03/01/14,15,80
03/01/14,16,99
03/01/14,17,93
03/01/14,18,92
03/01/14,19,81
03/01/14,20,54
03/01/14,21,0
03/01/14,22,0
04/01/14,8,0
04/01/14,9,0
04/01/14,10,37
04/01/14,11,79
04/01/14,12,84
04/01/14,13,93
04/01/14,14,126
04/01/14,15,156
04/01/14,16,128
04/01/14,17,104
04/01/14,18,118
04/01/14,19,105
04/01/14,20,52
04/01/14,21,0
04/01/14,22,0
05/01/14,8,0
05/01/14,9,0
05/01/14,10,16
05/01/14,11,59
05/01/14,12,60
05/01/14,13,90
05/01/14,14,122
05/01/14,15,146
05/01/14,16,108
05/01/14,17,114
05/01/14,18,107
05/01/14,19,73
05/01/14,20,49
05/01/14,21,0
05/01/14,22,0
07/01/14,8,0
07/01/14,9,0
07/01/14,10,15
07/01/14,11,40
07/01/14,12,40
07/01/14,13,50
07/01/14,14,46
07/01/14,15,41
07/01/14,16,60
07/01/14,17,69
07/01/14,18,79
07/01/14,19,49
07/01/14,20,24
07/01/14,21,0
07/01/14,22,0
08/01/14,8,0
08/01/14,9,0
08/01/14,10,16
08/01/14,11,37
08/01/14,12,27
08/01/14,13,49
08/01/14,14,40
08/01/14,15,48
08/01/14,16,47
08/01/14,17,53
08/01/14,18,63
08/01/14,19,46
08/01/14,20,37
08/01/14,21,0
08/01/14,22,0
09/01/14,8,0
09/01/14,9,0
09/01/14,10,26
09/01/14,11,47
09/01/14,12,64
09/01/14,13,39
09/01/14,14,42
09/01/14,15,51
09/01/14,16,54
09/01/14,17,53
09/01/14,18,40
09/01/14,19,56
09/01/14,20,33
09/01/14,21,0
09/01/14,22,0
10/01/14,8,0
10/01/14,9,0
10/01/14,10,24
10/01/14,11,27
10/01/14,12,51
10/01/14,13,65
10/01/14,14,62
10/01/14,15,61
10/01/14,16,57
10/01/14,17,58
10/01/14,18,84
10/01/14,19,79
10/01/14,20,48
10/01/14,21,0
10/01/14,22,0
11/01/14,8,0
11/01/14,9,0
11/01/14,10,20
11/01/14,11,86
11/01/14,12,102
11/01/14,13,89
11/01/14,14,130
11/01/14,15,99
11/01/14,16,120
11/01/14,17,97
11/01/14,18,110
11/01/14,19,93
11/01/14,20,55
11/01/14,21,0
11/01/14,22,0
12/01/14,8,0
12/01/14,9,0
12/01/14,10,27
12/01/14,11,47
12/01/14,12,72
12/01/14,13,98
12/01/14,14,74
12/01/14,15,89
12/01/14,16,114
12/01/14,17,99
12/01/14,18,88
12/01/14,19,44
12/01/14,20,33
12/01/14,21,0
12/01/14,22,0
13/01/14,8,0
13/01/14,9,0
13/01/14,10,9
13/01/14,11,27
13/01/14,12,34
13/01/14,13,31
13/01/14,14,30
13/01/14,15,43
13/01/14,16,35
13/01/14,17,44
13/01/14,18,53
13/01/14,19,52
13/01/14,20,34
13/01/14,21,0
13/01/14,22,0
14/01/14,8,0
14/01/14,9,0
14/01/14,10,22
14/01/14,11,32
14/01/14,12,27
14/01/14,13,39
14/01/14,14,37
14/01/14,15,51
14/01/14,16,47
14/01/14,17,86
14/01/14,18,45
14/01/14,19,51
14/01/14,20,21
14/01/14,21,0
14/01/14,22,0
15/01/14,8,0
15/01/14,9,0
15/01/14,10,18
15/01/14,11,26
15/01/14,12,35
15/01/14,13,43
15/01/14,14,37
15/01/14,15,36
15/01/14,16,41
15/01/14,17,50
15/01/14,18,60
15/01/14,19,44
15/01/14,20,25
15/01/14,21,0
15/01/14,22,0
16/01/14,8,0
16/01/14,9,0
16/01/14,10,24
16/01/14,11,22
16/01/14,12,29
16/01/14,13,56
16/01/14,14,50
16/01/14,15,40
16/01/14,16,43
16/01/14,17,49
16/01/14,18,41
16/01/14,19,46
16/01/14,20,32
16/01/14,21,0
16/01/14,22,0
17/01/14,8,0
17/01/14,9,0
17/01/14,10,19
17/01/14,11,21
17/01/14,12,56
17/01/14,13,50
17/01/14,14,72
17/01/14,15,56
17/01/14,16,72
17/01/14,17,87
17/01/14,18,83
17/01/14,19,64
17/01/14,20,26
17/01/14,21,0
17/01/14,22,0
18/01/14,8,0
18/01/14,9,0
18/01/14,10,36
18/01/14,11,52
18/01/14,12,67
18/01/14,13,83
18/01/14,14,100
18/01/14,15,92
18/01/14,16,116
18/01/14,17,94
18/01/14,18,75
18/01/14,19,84
18/01/14,20,42
18/01/14,21,0
18/01/14,22,0
19/01/14,8,0
19/01/14,9,0
19/01/14,10,21
19/01/14,11,36
19/01/14,12,69
19/01/14,13,65
19/01/14,14,85
19/01/14,15,74
19/01/14,16,85
19/01/14,17,57
19/01/14,18,70
19/01/14,19,64
19/01/14,20,24
19/01/14,21,0
19/01/14,22,0
20/01/14,8,0
20/01/14,9,0
20/01/14,10,28
20/01/14,11,37
20/01/14,12,32
20/01/14,13,52
20/01/14,14,34
20/01/14,15,46
20/01/14,16,32
20/01/14,17,51
20/01/14,18,31
20/01/14,19,37
20/01/14,20,28
20/01/14,21,0
20/01/14,22,0
21/01/14,8,0
21/01/14,9,0
